Response	Gene ENSEMBL ID
LBW242	ENSG00000169084
LBW242	ENSG00000185627
LBW242	ENSG00000021776
LBW242	C14orf102
LBW242	ENSG00000141376
LBW242	LRG_351
LBW242	ENSG00000124227
LBW242	ENSG00000121481
LBW242	LOC440981
LBW242	LOC93432
LBW242	ENSG00000125414
LBW242	ENSG00000100012
LBW242	ENSG00000119919
LBW242	ENSG00000182700
LBW242	ENSG00000071564
LBW242	ENSG00000148481
LBW242	ENSG00000132646
LBW242	ENSG00000116095
LBW242	ENSG00000174373
LBW242	ENSG00000114948
LBW242	ENSG00000118596
LBW242	ENSG00000107937
LBW242	ENSG00000112294
LBW242	LOC284648
LBW242	ENSG00000107672
LBW242	ENSG00000235769
LBW242	ENSG00000181211
LBW242	ENSG00000175166
LBW242	ENSG00000166352
LBW242	FLJ43390
LBW242	ENSG00000076003
LBW242	ENSG00000143742
LBW242	ENSG00000121207
LBW242	LRG_631
LBW242	ENSG00000182400
LBW242	ENSG00000182809
LBW242	ENSG00000111424
LBW242	ENSG00000206470
LBW242	ENSG00000124237
LBW242	ENSG00000165915
LBW242	ENSG00000167705
LBW242	ENSG00000227199
LBW242	ENSG00000255072
LBW242	ENSG00000169435
LBW242	ENSG00000069535
LBW242	ENSG00000162944
LBW242	ENSG00000127452
LBW242	ENSG00000203880
LBW242	ENSG00000132972
LBW242	ENSG00000138231
LBW242	ENSG00000109576
LBW242	LOC154092
LBW242	ENSG00000011198
LBW242	LOC90246
LBW242	ENSG00000173040
LBW242	ENSG00000134748
LBW242	ENSG00000166575
LBW242	ENSG00000169925
LBW242	ENSG00000026508
LBW242	ENSG00000146066
LBW242	ENSG00000168079
LBW242	ENSG00000281919
LBW242	ENSG00000110455
LBW242	ENSG00000145681
LBW242	ENSG00000148219
LBW242	ENSG00000141858
LBW242	ENSG00000117114
LBW242	LOC100507008
LBW242	ENSG00000167658
LBW242	ENSG00000158014
LBW242	ENSG00000132965
LBW242	ENSG00000101955
LBW242	ENSG00000023330
LBW242	ENSG00000179008
LBW242	ENSG00000126767
LBW242	ENSG00000146469
LBW242	ENSG00000167792
LBW242	ENSG00000155508
LBW242	ENSG00000169129
LBW242	ENSG00000159915
LBW242	ENSG00000152467
LBW242	ENSG00000256061
LBW242	ENSG00000173338
LBW242	ENSG00000157778
LBW242	ENSG00000100316
LBW242	ENSG00000143418
LBW242	ENSG00000063241
LBW242	ENSG00000196730
LBW242	ENSG00000184647
LBW242	ENSG00000145354
LBW242	ENSG00000129988
LBW242	ENSG00000136869
LBW242	ENSG00000101782
LBW242	ENSG00000215788
LBW242	ENSG00000128641
LBW242	ENSG00000125726
LBW242	ENSG00000171604
LBW242	ENSG00000004897
LBW242	ENSG00000140107
LBW242	ENSG00000196620
LBW242	ENSG00000148429
LBW242	ENSG00000090447
LBW242	ENSG00000155640
LBW242	ENSG00000143195
LBW242	ENSG00000143369
LBW242	ENSG00000164128
LBW242	LOC100506059
LBW242	ENSG00000235194
LBW242	ENSG00000182676
LBW242	ENSG00000164327
LBW242	ENSG00000159352
LBW242	ENSG00000143001
LBW242	ENSG00000117682
LBW242	GALNTL4
LBW242	ENSG00000105668
LBW242	ENSG00000105176
LBW242	ENSG00000173992
LBW242	ENSG00000158079
LBW242	ENSG00000145911
LBW242	ENSG00000143801
LBW242	ENSG00000185885
LBW242	ENSG00000175634
LBW242	ENSG00000169660
LBW242	ENSG00000166851
LBW242	ENSG00000135517
LBW242	ENSG00000132522
LBW242	ENSG00000274965
LBW242	ENSG00000136630
LBW242	ENSG00000170777
LBW242	ENSG00000116711
LBW242	ENSG00000110442
LBW242	LOC84989
LBW242	ENSG00000125089
LBW242	ENSG00000188906
LBW242	ENSG00000107816
LBW242	ENSG00000156411
LBW242	ENSG00000124249
LBW242	ENSG00000262860
LBW242	ENSG00000176635
LBW242	ENSG00000011295
LBW242	ENSG00000073803
LBW242	LOC100505828
LBW242	ENSG00000143393
LBW242	ENSG00000105321
LBW242	ENSG00000174243
LBW242	ENSG00000113649
LBW242	ENSG00000230797
LBW242	ENSG00000198074
LBW242	ENSG00000204227
LBW242	ENSG00000177575
LBW242	ENSG00000173540
LBW242	ENSG00000167178
LBW242	ENSG00000102780
LBW242	ENSG00000147650
LBW242	ENSG00000130303
LBW242	ENSG00000204086
LBW242	ENSG00000156427
LBW242	ENSG00000146678
LBW242	ENSG00000158792
LBW242	ENSG00000178860
LBW242	ENSG00000104517
LBW242	ENSG00000099381
LBW242	ENSG00000156587
LBW242	ENSG00000183715
LBW242	ENSG00000107625
LBW242	ENSG00000159128
LBW242	ENSG00000168634
LBW242	ENSG00000116017
LBW242	ENSG00000085998
LBW242	ENSG00000131203
LBW242	ENSG00000151846
LBW242	ENSG00000100600
LBW242	C7orf41
LBW242	ENSG00000144891
LBW242	ENSG00000171487
LBW242	ENSG00000175224
LBW242	ENSG00000146147
LBW242	ENSG00000166337
LBW242	ENSG00000196405
LBW242	ENSG00000124613
LBW242	ENSG00000236515
LBW242	ENSG00000185231
LBW242	ENSG00000173480
LBW242	ENSG00000166452
LBW242	ENSG00000126562
LBW242	ENSG00000146477
LBW242	ENSG00000132612
LBW242	ENSG00000123595
LBW242	ENSG00000233864
LBW242	ENSG00000169684
LBW242	ENSG00000107864
LBW242	ENSG00000111700
LBW242	ENSG00000129450
LBW242	ENSG00000160785
LBW242	ENSG00000180318
LBW242	ENSG00000099875
LBW242	ENSG00000231999
LBW242	ENSG00000173627
LBW242	ENSG00000168350
LBW242	ENSG00000095574
LBW242	ENSG00000106772
LBW242	FLJ39051
LBW242	ENSG00000167965
LBW242	ENSG00000197272
LBW242	ENSG00000133574
LBW242	ENSG00000150556
LBW242	ENSG00000197561
LBW242	LOC100507739
LBW242	ENSG00000214022
LBW242	ENSG00000196704
LBW242	ENSG00000099282
LBW242	ENSG00000133112
LBW242	ENSG00000171680
LBW242	ENSG00000162444
LBW242	ENSG00000154845
LBW242	ENSG00000244462
LBW242	LOC100506710
LBW242	ENSG00000117691
LBW242	ENSG00000196150
LBW242	ENSG00000226496
LBW242	LOC100506409
LBW242	ENSG00000152527
LBW242	ENSG00000119969
LBW242	ENSG00000129824
LBW242	ENSG00000197826
LBW242	ENSG00000106462
LBW242	ENSG00000120594
LBW242	ENSG00000139874
LBW242	ENSG00000052749
LBW242	ENSG00000116014
LBW242	ENSG00000180773
LBW242	ENSG00000134955
LBW242	LOC100129620
LBW242	ENSG00000162669
LBW242	ENSG00000186231
LBW242	ENSG00000112695
LBW242	ENSG00000130640
LBW242	C9orf7
LBW242	ENSG00000204947
LBW242	C9orf25
LBW242	ENSG00000132554
LBW242	ENSG00000130700
LBW242	ENSG00000145868
LBW242	ENSG00000132297
LBW242	ENSG00000165630
LBW242	ENSG00000126804
LBW242	ENSG00000010438
LBW242	LOC100422737
LBW242	ENSG00000188130
LBW242	ENSG00000218891
LBW242	ENSG00000072858
LBW242	ENSG00000187840
LBW242	ENSG00000176381
LBW242	LOC100505746
LBW242	ENSG00000068985
LBW242	ENSG00000147231
LBW242	ENSG00000153814
LBW242	ENSG00000100393
LBW242	ENSG00000119203
LBW242	ENSG00000101194
LBW242	ENSG00000273326
LBW242	ENSG00000162972
LBW242	FAM40B
LBW242	LOC100505932
LBW242	LRG_192
LBW242	ENSG00000206353
LBW242	ENSG00000224792
LBW242	ENSG00000137806
LBW242	ENSG00000107371
LBW242	ENSG00000198783
LBW242	ENSG00000165970
LBW242	ENSG00000176165
LBW242	ENSG00000227124
LBW242	ENSG00000133627
LBW242	ENSG00000100364
LBW242	ENSG00000165548
LBW242	ENSG00000196683
LBW242	ENSG00000168676
LBW242	ENSG00000145526
LBW242	ENSG00000066427
LBW242	ENSG00000107821
LBW242	ENSG00000142319
LBW242	ENSG00000121957
LBW242	ENSG00000140688
LBW242	LOC157381
LBW242	LOC100506926
